"steam_appid";"timestamp_created";"timestamp_updated";"voted_up";"votes_up";"votes_funny";"weighted_vote_score";"comment_count
10;1385405036;1385405036;"TRUE";501;1;0.828463495;4
10;1613134261;1613134261;"TRUE";51;4;0.825263202;11
10;1417261885;1417261885;"TRUE";175;176;0.823886216;5
10;1498752379;1498752379;"TRUE";91;5;0.822543144;7
10;1428397040;1428397040;"TRUE";111;14;0.821933508;0
10;1607023925;1607079793;"TRUE";42;1;0.821721137;3
10;1467141313;1467141313;"TRUE";157;543;0.820770979;23
10;1479951826;1479951826;"TRUE";56;26;0.819133282;2
10;1413913634;1486149616;"TRUE";194;35;0.818196118;8
10;1471779522;1471779609;"TRUE";69;44;0.816609681;5
10;1578676030;1578676030;"TRUE";41;1;0.816463113;0
10;1448051170;1448051170;"TRUE";215;219;0.815721571;4
10;1617010331;1617010331;"TRUE";47;2;0.814731717;0
10;1411984715;1411984715;"TRUE";338;79;0.814584553;21
10;1545946220;1545946220;"TRUE";52;12;0.813992977;0
10;1609455817;1609455817;"TRUE";61;2;0.813430786;0
10;1621322569;1621322569;"TRUE";54;16;0.812826037;0
10;1603496522;1603496522;"TRUE";73;5;0.809846938;0
10;1627227589;1627227589;"TRUE";68;19;0.809402466;2
10;1469881866;1542826511;"TRUE";52;16;0.8093732;0
10;1445610236;1489016445;"TRUE";88;202;0.809166193;3
10;1515899449;1515899449;"TRUE";73;7;0.808737755;1
10;1604621451;1604621451;"TRUE";55;6;0.808330178;0
10;1614585480;1614585480;"TRUE";61;1;0.807834744;0
10;1585609047;1585609047;"TRUE";42;5;0.807609916;0
10;1519608183;1519608183;"TRUE";47;4;0.807251096;1
10;1618483298;1618483298;"TRUE";79;3;0.805682123;9
10;1574799820;1574799820;"TRUE";51;28;0.805025637;11
10;1414795849;1415183518;"TRUE";99;7;0.802552402;0
10;1564468943;1565895607;"TRUE";60;33;0.801005423;0
10;1612008267;1612008267;"TRUE";51;3;0.79976058;0
10;1391991076;1391991317;"TRUE";131;1;0.79973793;3
10;1438584947;1438584947;"TRUE";64;50;0.798813581;0
10;1619246892;1619246892;"TRUE";58;39;0.798393428;2
10;1600719203;1600719203;"TRUE";38;0;0.797800064;0
10;1581114472;1581114472;"TRUE";34;2;0.795675099;0
10;1586602641;1586602641;"TRUE";44;8;0.794768095;0
10;1602922887;1602922887;"TRUE";49;21;0.794711471;0
10;1609402547;1609402547;"TRUE";41;3;0.793556869;3
10;1623842911;1623842911;"TRUE";33;0;0.793130875;0
10;1385405528;1385405528;"TRUE";329;0;0.790191233;2
20;1414884597;1414884597;"TRUE";665;130;0.932614923;32
20;1599091448;1599091448;"TRUE";98;23;0.901114583;0
20;1420217976;1431108445;"TRUE";435;763;0.90005815;47
20;1598689375;1598689375;"TRUE";141;55;0.8970806;5
20;1574324052;1574324052;"TRUE";351;235;0.893575549;24
20;1437390503;1450610358;"TRUE";319;36;0.880094528;14
20;1420992812;1420992812;"TRUE";130;18;0.872978687;10
20;1437245231;1437245231;"TRUE";317;1263;0.870620191;16
20;1612495714;1612495714;"TRUE";72;53;0.870203972;0
20;1615569769;1615569769;"TRUE";69;64;0.863367021;0
20;1521053346;1521053346;"TRUE";78;2;0.859487474;6
20;1591294658;1591294658;"TRUE";91;24;0.856120169;0
20;1605651144;1631816635;"TRUE";77;29;0.853982627;0
20;1607185956;1609776815;"TRUE";71;2;0.849676907;0
20;1621964909;1621964909;"TRUE";54;1;0.847427964;0
20;1625519714;1625519714;"TRUE";54;25;0.846769571;0
20;1455738569;1511454448;"TRUE";82;16;0.839861989;15
20;1596636622;1596636622;"TRUE";71;6;0.838093996;0
20;1455421267;1455421267;"TRUE";73;25;0.837070584;6
20;1618352040;1618352040;"TRUE";53;72;0.833115041;0
20;1415483551;1415483551;"TRUE";81;26;0.827674031;1
20;1590315933;1590315933;"FALSE";288;27;0.826005697;8
20;1426587518;1426587518;"TRUE";165;40;0.816840172;16
20;1405672612;1407696818;"TRUE";57;1;0.81409955;4
20;1592508331;1592508331;"TRUE";75;86;0.812784076;0
20;1585779208;1592995073;"TRUE";49;3;0.811032057;0
20;1419813882;1419813882;"TRUE";49;12;0.810497403;4
20;1619461943;1619462041;"TRUE";47;36;0.810167849;0
20;1593131797;1593131797;"TRUE";53;15;0.806569457;0
20;1613260586;1613260586;"TRUE";66;14;0.805649579;0
20;1616615020;1616615020;"TRUE";45;4;0.798010111;2
20;1591964785;1591964785;"FALSE";269;116;0.795922458;18
20;1604194610;1604194610;"TRUE";44;34;0.795800507;0
20;1390772777;1402212588;"TRUE";162;0;0.790494323;9
20;1538376906;1538376906;"TRUE";41;153;0.786923289;2
20;1609214421;1609214421;"TRUE";72;27;0.783365846;0
20;1565314401;1565314401;"TRUE";39;20;0.782963037;1
20;1415825067;1415825067;"TRUE";204;33;0.782498121;29
20;1570240305;1570240367;"TRUE";31;2;0.781790257;0
20;1547677794;1547677794;"TRUE";31;2;0.779849589;0
20;1529595600;1602557729;"TRUE";77;112;0.779156387;4
20;1586082599;1586082599;"TRUE";40;9;0.777400434;1
20;1615625800;1615625800;"TRUE";55;24;0.776366115;0
20;1589664350;1589664350;"TRUE";65;9;0.774133325;3
20;1629782053;1629782053;"TRUE";37;18;0.774028122;0
20;1561948464;1561948464;"TRUE";64;19;0.7740134;0
20;1587316381;1587316381;"TRUE";59;70;0.773383737;0
20;1579517629;1579517629;"TRUE";61;9;0.773163259;0
20;1572622177;1572622177;"TRUE";27;2;0.770874321;3
20;1465360946;1465360946;"TRUE";41;3;0.770239472;0
20;1493093615;1493093615;"TRUE";30;10;0.768696725;1
20;1394817152;1394989481;"TRUE";154;3;0.767499208;2
20;1587346912;1628648593;"TRUE";26;2;0.766996205;0
20;1587866146;1587866146;"TRUE";32;36;0.766318679;3
20;1601231961;1601231961;"TRUE";32;7;0.766298831;0
20;1442747324;1442747324;"TRUE";189;397;0.76386565;20
20;1481148766;1481148766;"TRUE";43;16;0.763825476;2
20;1622855665;1622855665;"TRUE";61;25;0.76150471;0
20;1403111924;1403111952;"TRUE";759;9;0.760252655;64
20;1598025261;1598025261;"TRUE";29;8;0.759966671;8
20;1608289525;1608289525;"TRUE";55;3;0.758892179;3
20;1597797716;1597797716;"TRUE";44;23;0.75733155;0
20;1561189933;1561189933;"TRUE";23;24;0.755109847;0
20;1532481421;1532481421;"TRUE";32;50;0.752909839;2
20;1618587000;1618587180;"TRUE";29;44;0.75026381;0
20;1485769775;1485769775;"TRUE";32;10;0.748087823;0
20;1415647694;1415647694;"TRUE";54;15;0.747724652;0
20;1496654351;1496654351;"TRUE";138;34;0.747649491;8
20;1600250090;1600250090;"TRUE";28;14;0.74756217;0
20;1434078024;1434078024;"TRUE";77;14;0.746946275;1
20;1599754664;1599754664;"TRUE";37;7;0.746130764;0
20;1379363245;1385405541;"TRUE";227;0;0.744747102;6
20;1543249138;1616071306;"TRUE";30;6;0.74442625;0
20;1492893871;1492893871;"TRUE";26;24;0.743848443;0
20;1487486170;1487486170;"TRUE";35;27;0.743417501;2
20;1616915147;1616915147;"TRUE";22;0;0.742619157;0
20;1620146864;1620146864;"TRUE";26;13;0.741563022;0
20;1574191983;1574191983;"TRUE";24;22;0.740777016;0
20;1583720425;1583720425;"TRUE";31;182;0.740444124;0
20;1466086158;1466086158;"TRUE";44;27;0.738704622;3
20;1600330774;1600330955;"TRUE";29;12;0.736172616;2
20;1478192735;1478192735;"TRUE";25;4;0.733301878;6
20;1583451842;1583451842;"TRUE";21;16;0.732348442;0
20;1290763760;1385432539;"TRUE";30;0;0.731792331;11
20;1609635130;1609635130;"TRUE";29;11;0.730799437;0
20;1622583726;1622583726;"TRUE";52;26;0.730236053;0
20;1600041038;1600041038;"TRUE";24;7;0.728851438;0
20;1549676314;1549676314;"TRUE";34;43;0.727876127;0
20;1545699509;1545699509;"TRUE";20;0;0.727468371;0
20;1627426019;1627426019;"TRUE";26;4;0.726957738;0
20;1619977493;1619977493;"TRUE";29;3;0.726198733;0
20;1625699114;1625699114;"TRUE";30;5;0.725117922;0
20;1609219856;1627460883;"TRUE";33;3;0.724862814;2
20;1411945020;1411945020;"TRUE";147;25;0.72308588;22
20;1627071315;1627071315;"TRUE";39;12;0.722717524;0
20;1595950454;1595950454;"TRUE";42;8;0.722554386;0
20;1392514509;1392514509;"TRUE";661;8;0.721716583;24
20;1624056306;1624056306;"FALSE";129;50;0.721117198;25
20;1618423872;1618423872;"TRUE";108;30;0.719646275;14
20;1610307614;1610307614;"TRUE";27;2;0.719392598;0
30;1576118704;1576118704;"TRUE";156;69;0.939195037;0
30;1609479315;1609479315;"TRUE";82;2;0.889581561;0
30;1385426264;1385426315;"TRUE";120;0;0.886893332;3
30;1431229620;1431229620;"TRUE";128;405;0.858121932;13
30;1453968585;1529303145;"TRUE";58;12;0.81513679;24
30;1403073835;1403073835;"TRUE";76;0;0.806010187;3
30;1621178079;1621178079;"TRUE";41;28;0.805890322;0
30;1625338567;1625338567;"TRUE";40;1;0.805509806;0
30;1521343784;1521343784;"TRUE";30;3;0.797169566;0
30;1512282246;1608128869;"TRUE";34;1;0.79501307;1
30;1529324546;1529324546;"TRUE";41;38;0.788809776;0
30;1497147000;1575076735;"TRUE";69;2;0.786000073;3
30;1584647086;1618207797;"TRUE";40;9;0.775313318;7
30;1414854640;1414854640;"TRUE";52;6;0.771620095;0
30;1435497527;1435497527;"TRUE";50;8;0.771169364;2
30;1571639853;1571639853;"TRUE";29;43;0.759938657;0
30;1404825911;1404825911;"TRUE";113;15;0.759231448;14
30;1447207223;1447207223;"TRUE";81;265;0.756469607;3
30;1387646827;1387646827;"TRUE";39;0;0.754437923;0
30;1559427978;1559427978;"TRUE";26;18;0.752233565;0
30;1560008197;1601570742;"TRUE";45;113;0.750833452;1
30;1445407802;1445407802;"TRUE";28;6;0.745595694;0
30;1545315750;1545315750;"TRUE";24;3;0.745384276;0
30;1416490639;1416490639;"TRUE";39;6;0.7441203;0
30;1624658294;1624658302;"TRUE";39;57;0.742517173;0
30;1607450623;1607450623;"TRUE";20;2;0.739744484;3
30;1435022180;1435022255;"TRUE";54;13;0.737347603;0
30;1516458073;1527576211;"TRUE";21;2;0.727510273;0
30;1572691825;1572691825;"TRUE";18;0;0.726962447;0
30;1444871874;1444871874;"TRUE";66;53;0.71949476;0
